title,company,location,salary,skills
Account Director,Deere,Nuku?alofa,$62K-$120K,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills
IT Administrator,ProSiebenSat.1 Media SE,Islamabad,$65K-$113K,System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery
Network Security Specialist,JPMorgan Chase,Caracas,$64K-$95K,"Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning"
Chemical Engineer,ServiceNow,Philipsburg,$59K-$98K,"Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge"
Electrical Engineer,Transurban Group,Moscow,$65K-$130K,Control system design PLC programming Automation Instrumentation System integration
Structural Engineer,Fidelity National Information Services,Oranjestad,$63K-$127K,Construction management Structural design AutoCAD proficiency Project management Site inspection
Customer Success Manager,Targa Resources,Road Town,$62K-$126K,Account management Customer relationship management Sales and negotiation Business development Client needs analysis
Digital Marketing Specialist,Northern Star Resources,Vienna,$57K-$118K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Finance Manager,WPP plc,Panama City,$60K-$105K,Accounting principles Financial reporting Team management Budgeting Financial analysis
Litigation Attorney,Disney+,New Delhi,$61K-$111K,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation
Sales Representative,General Dynamics,Sucre (de jure),$59K-$80K,Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting
Software Engineer,DuPont,Palikir,$55K-$82K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Personal Assistant,Southern,Pristina,$58K-$91K,Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality
Network Technician,Gree Electric Appliances,Sucre (de jure),$59K-$117K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
Sales Representative,Compass Group,Tallinn,$63K-$122K,Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting
Web Developer,Rite Aid,Dakar,$62K-$122K,"Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)"
Digital Marketing Specialist,The Walt Disney Company,Damascus,$64K-$124K,"Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy"
Brand Manager,Woodside Petroleum,Nur-Sultan,$57K-$110K,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting
Network Technician,Everbright Securities,Rabat,$60K-$90K,Network security Cybersecurity Intrusion detection Security analysis Firewall management
SEO Specialist,Nvidia,Nassau,$63K-$119K,Content strategy SEO content optimization Content marketing Keyword mapping Analytics
Sales Representative,Royal Dutch Shell,Moscow,$61K-$124K,Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting
QA Analyst,Coal India Limited,Nassau,$61K-$86K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
Legal Advisor,Sun TV Network,Helsinki,$65K-$120K,Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance
Environmental Engineer,Hewlett Packard Enterprise,Palikir,$59K-$93K,Environmental assessments Regulatory compliance Environmental impact analysis
Database Administrator,UnitedHealth Group,Minsk,$59K-$128K,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance
Graphic Designer,ABM Industries,Maseru,$57K-$102K,"User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design"
Project Coordinator,CSL Limited,Nuku?alofa,$58K-$90K,Office administration Communication skills Organizational skills Time management Microsoft Office proficiency
Event Coordinator,Block,Banjul,$64K-$129K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
Architect,Genuine Parts,Moroni,$58K-$116K,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment
Chemical Analyst,CVS Health,Rabat,$61K-$104K,Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills
Marketing Director,Unum Group,Kathmandu,$57K-$114K,Brand strategy Brand development Creative direction Brand management Market research
Family Nurse Practitioner,Motorola Solutions,Belmopan,$61K-$118K,Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology
Supply Chain Manager,Hindustan Zinc,Port-au-Prince,$59K-$89K,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency
Software Tester,McDonald's,London,$59K-$126K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Marketing Manager,Warner Bros. Discovery,Kigali,$57K-$97K,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration
Investment Banker,Hindustan Zinc,Saint John's,$58K-$98K,Financial analysis Data analysis Financial modeling
Event Planner,Nucor,Seoul,$63K-$108K,Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management
Content Writer,Larsen & Toubro (L&T),Macao,$63K-$114K,Content strategy Content planning SEO optimization Content marketing Analytics
Physician Assistant,Fuchs Petrolub SE,Papeete,$60K-$110K,Emergency medical care Triage and assessment Trauma management
Landscape Designer,Diamondback Energy,Victoria,$65K-$108K,Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification
UI Developer,Godrej Consumer Products Limited,Kathmandu,$60K-$84K,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility"
Architectural Designer,Incitec Pivot,Dakar,$55K-$86K,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management"
Network Engineer,Progressive,Luxembourg,$64K-$124K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Data Analyst,Builders FirstSource,Harare,$58K-$102K,"Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy"
HR Coordinator,Deutsche Bank AG,Kinshasa,$56K-$88K,Training program coordination Training material development Learning management systems
Supply Chain Manager,Activision Blizzard,Skopje,$64K-$122K,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency
Financial Controller,Goodyear Tire & Rubber,Gaborone,$62K-$94K,"Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)"
HR Coordinator,Ashtead Group,Vaduz,$65K-$119K,Employee benefits administration Benefits compliance HRIS Benefits communication
Market Research Analyst,Adidas AG,Beijing,$58K-$107K,Market research coordination Survey design and administration Data analysis
Marketing Manager,American Express,Yerevan,$58K-$85K,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration
UX/UI Designer,Shriram Transport Finance Company,Doha,$58K-$113K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Psychologist,"Lyft, Inc.",Brasilia,$57K-$86K,School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills
Data Scientist,Sun Pharmaceutical Industries,Kuala Lumpur,$62K-$100K,"Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing"
Veterinarian,Bayer AG,Tokyo,$63K-$87K,Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail
Environmental Consultant,VF,Gaza,$57K-$88K,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication
Aerospace Engineer,Qurate Retail,Port Vila,$55K-$116K,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations"
Brand Ambassador,Alumina Limited,London,$59K-$98K,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge
Administrative Assistant,Freddie Mac,Juba,$55K-$85K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Nurse Manager,Western Union Company,Mexico City,$63K-$103K,Nursing education Curriculum development Clinical instruction Assessment and evaluation Educational technology Communication skills
HR Coordinator,HeidelbergCement AG,Luanda,$61K-$109K,Training program coordination Training material development Learning management systems
Financial Advisor,Genworth Financial,Luxembourg,$56K-$91K,Wealth management strategies Asset allocation Estate planning Tax management Client relationship management
Interior Designer,Godrej Consumer Products Limited,Conakry,$61K-$127K,Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering
Data Scientist,McKesson,Caracas,$59K-$123K,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation
Systems Administrator,Deutsche Telekom AG,Bridgetown,$60K-$84K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
SEO Analyst,W.R. Berkley,Prague,$62K-$91K,SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting
Electrical Designer,Global Partners,Tashkent,$58K-$110K,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge
QA Analyst,Celgene Corporation,Muscat,$65K-$84K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Marketing Director,Ameriprise Financial,Minsk,$57K-$99K,Digital marketing strategy Marketing analytics Team leadership Content marketing SEO and SEM proficiency
Event Planner,Bajaj Electricals,Kingstown,$57K-$90K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Electrical Engineer,Dr. Reddy's Laboratories,Bandar Seri Begawan,$62K-$103K,Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting
Structural Engineer,ConocoPhillips,Ulaanbaatar,$55K-$98K,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills
Purchasing Agent,Builders FirstSource,Rome,$63K-$108K,Negotiation skills Vendor management Supply chain knowledge Contract management Analytical skills
Network Administrator,O'Reilly Automotive,Stockholm,$62K-$118K,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge"
Wedding Planner,Alphabet,Brasilia,$55K-$108K,Wedding design concepts Decor selection and arrangement Creative flair
HR Coordinator,McKesson,Seoul,$57K-$87K,Training program coordination Training material development Learning management systems
Business Development Manager,"T-Mobile US, Inc.",Jakarta,$61K-$107K,Partnership development Negotiation and collaboration Business development
Civil Engineer,Rolls-Royce Holdings,Tehran,$55K-$80K,Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management
Accountant,Rentokil Initial,Hanoi,$56K-$123K,Forensic accounting Fraud detection Legal knowledge Investigative skills
Business Analyst,Plains GP Holdings,Philipsburg,$56K-$112K,Business process analysis Requirement gathering Data analysis Communication skills
Procurement Specialist,CarMax,Bangkok,$61K-$101K,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation
Account Executive,Avery Dennison,Castries,$60K-$91K,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge
SEM Specialist,Eaton Corporation plc,Canberra,$65K-$94K,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management
Account Executive,Occidental Petroleum,Moroni,$62K-$93K,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge
Human Resources Manager,NextEra Energy,Pristina,$59K-$93K,HR policies and procedures Employee relations Recruitment Communication skills
Legal Secretary,Philip Morris International,Nuku?alofa,$59K-$95K,Legal research Document drafting Communication skills Legal software proficiency Attention to detail
Legal Secretary,Marks & Spencer,Amsterdam,$62K-$99K,Legal research Document drafting Communication skills Legal software proficiency Attention to detail
Digital Marketing Specialist,Nationwide,Luanda,$64K-$110K,"Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy"
Data Engineer,Equinix,Bern,$55K-$123K,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing"
HR Manager,Dollar Tree,Kabul,$58K-$117K,Strategic HR planning Employee relations Talent management HR policy development Leadership skills
UX/UI Designer,Amazon.com,Basseterre,$58K-$100K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Sales Consultant,General Dynamics,Guatemala City,$55K-$98K,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research
Human Resources Manager,Walgreens Boots Alliance,Asmara,$61K-$128K,HR policies and procedures Employee relations Recruitment Communication skills
Accountant,Illinois Tool Works,City of Victoria,$63K-$113K,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge"
Research Analyst,Truist Financial,N'Djamena,$55K-$128K,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy"
Event Planner,Bank of America,Macao,$58K-$120K,Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette
Social Media Manager,Berger Paints India Limited,SÃ£o TomÃ©,$59K-$82K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
Customer Support Specialist,Jackson Financial,Banjul,$55K-$121K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Executive Assistant,Arconic,SÃ£o TomÃ©,$60K-$128K,Project management Communication Time management Organization Problem-solving
Purchasing Agent,Incitec Pivot,Nicosia,$63K-$124K,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management
Event Planner,CarMax,Windhoek,$64K-$104K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Software Engineer,Linde plc,Bridgetown,$57K-$80K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Investment Banker,Metro AG,Sri Jayawardenepura Kotte,$57K-$129K,Financial analysis Data analysis Financial modeling
Structural Engineer,Commonwealth Bank of Australia,Guatemala City,$55K-$93K,Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management
Database Administrator,CenterPoint Energy,Kingston,$65K-$93K,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring
Office Manager,Block,Nuuk,$57K-$115K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Pediatrician,Best Buy,Nouakchott,$65K-$90K,"Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment"
Web Designer,Bayerische Motoren Werke AG (BMW),Windhoek,$61K-$93K,Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills
Systems Administrator,Honeywell International,Honiara,$55K-$81K,"Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery"
Customer Support Specialist,Royal Caribbean Group,Bridgetown,$60K-$125K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Operations Manager,Carrier Global,Helsinki,$59K-$119K,Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation
Inventory Analyst,A-Mark Precious Metals,Luxembourg,$63K-$81K,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills
Landscape Architect,Macy's,LomÃ©,$60K-$109K,Urban design and planning Zoning regulations GIS and mapping tools
SEM Specialist,United States Steel,Vientiane,$58K-$113K,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management
Legal Assistant,Godrej Consumer Products Limited,Kuwait City,$63K-$127K,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)"
Social Worker,Bank of China,Yamoussoukro,$64K-$119K,Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills
Account Manager,Avis Budget Group,Saint John's,$55K-$115K,Client relationship management Customer service Communication skills
Data Scientist,Insurance Australia Group (IAG),Belmopan,$56K-$84K,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation
Financial Planner,Admiral Group,Willemstad,$62K-$122K,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance
Java Developer,Pioneer Natural Resources,Athens,$58K-$84K,"Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation"
Administrative Assistant,Raymond James Financial,Kabul,$55K-$122K,"Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency"
Database Administrator,Abbott Laboratories,Zagreb,$65K-$107K,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring
Urban Planner,Coty Inc.,Bratislava,$57K-$129K,Transportation planning Traffic engineering GIS proficiency Public transportation Project management
SEM Specialist,Adidas AG,Sucre (de jure),$64K-$96K,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management
Executive Assistant,Hilton Worldwide Holdings,Santo Domingo,$62K-$106K,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality
Software Engineer,Weyerhaeuser,San Salvador,$61K-$127K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Systems Administrator,Fifth Third Bancorp,Majuro,$62K-$105K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Network Technician,"Wirecard AG (Now defunct, due to bankruptcy)",Papeete,$60K-$105K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
UX/UI Designer,Coupang,Moroni,$65K-$93K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Database Developer,Beiersdorf AG,Beirut,$60K-$104K,"NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems"
Aerospace Engineer,Zee Entertainment Enterprises,Athens,$65K-$93K,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations"
Architect,Archer Daniels Midland,Kabul,$59K-$114K,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Family Nurse Practitioner,Science Applications International,Yaounde,$65K-$126K,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology
Administrative Assistant,Lear,ReykjavÃ­k,$61K-$93K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Graphic Designer,TD Synnex,Brasilia,$56K-$84K,"User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design"
Procurement Manager,ODP,Castries,$56K-$118K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Content Writer,FirstEnergy,Riga,$56K-$98K,Content strategy Content planning SEO optimization Content marketing Analytics
Procurement Specialist,Watsco,Riyadh,$56K-$86K,Procurement processes Purchase order management Vendor communication Data analysis Inventory control
UI Developer,Hindustan Zinc,Ottawa,$57K-$91K,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma
Brand Ambassador,Intertek Group,Kuwait City,$58K-$129K,Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills
Java Developer,Brambles Limited,Gibraltar,$63K-$130K,"Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)"
Tax Consultant,Everbright Securities,Ankara,$58K-$93K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
IT Support Specialist,Whitbread plc,Gaza,$64K-$115K,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills"
Psychologist,Elevance Health,Beijing,$61K-$121K,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills
Administrative Assistant,GXO Logistics,Wellington,$62K-$85K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Investment Analyst,TD Synnex,Managua,$63K-$103K,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge
Quality Assurance Analyst,Adidas AG,Freetown,$57K-$101K,"Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing"
Social Worker,Micro Focus International,Cockburn Town,$63K-$88K,Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills
Art Teacher,Regions Financial,Douglas,$63K-$128K,Artistic skills Teaching ability Communication skills Art history knowledge Creativity
Psychologist,Newell Brands,Kampala,$55K-$103K,Research methodology Data analysis Psychological studies Writing research reports Critical thinking
Network Engineer,Carvana,Skopje,$56K-$81K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Software Tester,Opendoor Technologies,Papeete,$58K-$107K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Customer Support Specialist,Aviva,Beijing,$63K-$86K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Investment Advisor,Hikma Pharmaceuticals,Lusaka,$65K-$104K,Financial planning Investment knowledge Relationship management Communication skills Analytical skills
Office Manager,Cholamandalam Investment and Finance Company,Male,$63K-$89K,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
Account Manager,PBF Energy,Praia,$59K-$116K,Account management Sales strategy Negotiation and closing skills
Network Administrator,NTPC Limited,Macao,$62K-$81K,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge"
Executive Assistant,Lendlease Group,Riyadh,$65K-$114K,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality
Legal Counsel,Petronet LNG,Canberra,$57K-$130K,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills
Landscape Architect,Sirius XM Holdings Inc.,Pretoria,$59K-$117K,Environmental design principles Sustainability concepts CAD and design software
Business Analyst,Fresenius Medical Care AG & Co. KGaA,Brasilia,$61K-$127K,Healthcare industry knowledge Health data analysis HIPAA regulations EMR systems
Physical Therapist,LKQ,N'Djamena,$60K-$114K,Geriatric rehabilitation Fall prevention Elderly patient care
Software Tester,Standard Chartered,Jakarta,$60K-$116K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Copywriter,Warner Bros. Discovery,Apia,$61K-$120K,"SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush)"
Investment Banker,Rank Group,Chisinau,$57K-$120K,Financial analysis Data analysis Financial modeling
SEM Specialist,KION Group AG,Panama City,$56K-$86K,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management
Data Engineer,American Family Insurance Group,Kampala,$57K-$88K,Data architecture design Database management systems Data modeling
Network Technician,Eli Lilly,Dushanbe,$55K-$95K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
Financial Controller,Cholamandalam Investment and Finance Company,Lilongwe,$59K-$107K,"Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)"
Procurement Manager,Sun Pharmaceutical Industries,Oranjestad,$60K-$100K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Financial Advisor,AT&T,Phnom Penh,$58K-$129K,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance
UX/UI Designer,Delek US Holdings,Antananarivo,$59K-$83K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Purchasing Agent,U.S. Bancorp,Oslo,$59K-$89K,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
SEO Analyst,GXO Logistics,Addis Ababa,$60K-$101K,"Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization"
Network Administrator,GXO Logistics,Ankara,$57K-$119K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
QA Engineer,Enterprise Products Partners,Accra,$59K-$114K,Quality assurance Process improvement Team leadership Problem-solving Quality control
Data Scientist,Micro Focus International,Castries,$57K-$124K,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation
Front-End Engineer,Next plc,Tbilisi,$57K-$106K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
QA Analyst,Deutsche Telekom AG,Pristina,$57K-$104K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Marketing Specialist,Ameren,Santiago,$55K-$130K,Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools
Chemical Analyst,Xcel Energy,Brazzaville,$58K-$81K,"Analytical chemistry Laboratory techniques Instrumentation Data analysis Quality control Sample preparation Scientific software (e.g., ChemDraw)"
Marketing Director,Boeing,Rabat,$56K-$87K,Marketing communication Public relations Content strategy Crisis management Media relations
Social Worker,"Dr. Pepper Snapple Group, Inc.",Tbilisi,$63K-$105K,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification
UI Developer,NextEra Energy,Bratislava,$55K-$89K,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma
Marketing Specialist,China Evergrande Group,Kigali,$60K-$94K,Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting
Investment Advisor,Siemens AG,Santo Domingo,$63K-$130K,Financial planning Investment knowledge Relationship management Communication skills Analytical skills
Supply Chain Analyst,Centene,Cockburn Town,$64K-$80K,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving
Executive Assistant,Live Nation Entertainment,Luanda,$64K-$129K,Project management Communication Time management Organization Problem-solving
Legal Assistant,Kraft Heinz,Douglas,$57K-$118K,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)"
Front-End Engineer,Berkeley Group Holdings,ReykjavÃ­k,$62K-$84K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
Software Architect,TD Synnex,Kigali,$64K-$97K,Solution design Technical architecture Cloud computing and software development knowledge
